"Name","birth_year","death_year","religion_1_quaker"
Richard Clewin Griffiths,NA,NA,NA
James Oliff Griffits,1821,NA,NA
John Grover,NA,NA,NA
Charles Groves,1793,1866,NA
Joseph Tatton Russell Groves,NA,NA,NA
Augustus Guest,NA,NA,NA
William Vernon Guise,1816,1887,NA
John Gunn,1801,1890,NA
Henry Francis Jeune Guppy,NA,NA,NA
Samuel Guppy,1790,1875,NA
John Henry Gurney,1819,1890,1
Alexander Guthrie,1796,1865,NA
James Guthrie,NA,1900,NA
Johann Franz ('Julius') Haast,1822,1887,NA
Johann Georg Hahn,NA,NA,NA
William Hall,NA,NA,NA
Henry Hallam,1777,1859,NA
Ernst Hallier,1831,1904,NA
Alexander C Hamilton,NA,NA,NA
Archibald Hamilton,1818,1880,NA
Rowland Hamilton,NA,NA,NA
C D Hammond,NA,NA,NA
William Alexander Hammond,1828,1900,NA
Henry Fletcher Hance,1827,1886,NA
H J B Hancock,NA,NA,NA
James Ronaldson Handyside,1798,1873,NA
Richard Davis Hanson,1805,1876,NA
Edward B Harbour,NA,1865,NA
Clarence Harcourt,NA,1909,NA
Charles Harding,NA,NA,NA
William Harding,1809,1890,NA
William Hardman,1828,1890,NA
Charles J Harland,NA,NA,NA
Henry Harland,NA,NA,NA
C E Harle,NA,NA,NA
Thomas Harlin,1832,1913,NA
